country name,year,population growth,rural population growth,"population, total",population ages 0-14,"population, female",gdp growth,"death rate, crude",population ages 65 and above,"life expectancy at birth, total",rural population,age dependency ratio,"population, male",population ages 15-64,agricultural land,arable land,urban population,net migration,"fertility rate, total","birth rate, crude",adolescent fertility rate
St. Vincent and the Grenadines,1961,1.7962051050264,1.18533377901905,85666.0,49.603987556396,52.7256635106965,4.52728327833103,13.408,4.22627281376034,57.932,73.606,116.590817152104,47.2743364893035,46.1697396298436,25.6410256410256,15.3846153846154,26.394,-1423.0,7.227,47.566,180.892
St. Vincent and the Grenadines,1962,1.75533436848052,1.13225418774123,87183.0,49.9526854586643,52.6101609427301,3.69426180095058,12.232,4.20611934734608,59.482,73.149,118.142921483261,47.3898390572699,45.8411951939896,25.6410256410256,15.3846153846154,26.851,-1430.0,7.13,45.703,175.451
St. Vincent and the Grenadines,1963,1.65513017870588,1.02028966207657,88638.0,50.1940476996322,52.4982208013736,-6.26533852648464,11.065,4.2120760847492,61.063,72.686,119.324986390855,47.5017791986263,45.5938762156186,28.2051282051282,15.3846153846154,27.314,-1524.0,7.022,43.82,166.403
St. Vincent and the Grenadines,1964,1.58377263246098,0.93927866096883,90053.0,50.2740037866379,52.3899721448468,3.66972556461145,10.007,4.24580943550223,62.667,72.219,119.874987791777,47.6100278551532,45.4801867778598,28.2051282051282,15.3846153846154,27.781,-1518.0,6.928,42.449,166.839
St. Vincent and the Grenadines,1965,1.58859400875146,0.93510832070037,91495.0,50.2011038854582,52.2864747157029,0.884935067103171,9.072,4.30187441936718,64.264,71.748,119.791966945325,47.7135252842971,45.4970216951746,28.2051282051282,15.3846153846154,28.252,-1515.0,6.823,41.232,166.251
St. Vincent and the Grenadines,1966,1.58526946582776,0.917388936932798,92957.0,50.0960116182126,52.1857211141529,0.0,8.314,4.37511766129683,65.651,71.271,119.642266433533,47.8142788858471,45.5288707204906,28.2051282051282,15.3846153846154,28.729,-1516.0,6.71,40.17,165.865
St. Vincent and the Grenadines,1967,1.52133563660705,0.844711329478637,94382.0,49.9724523743934,52.0864653580173,-9.52381346413968,7.775,4.46377487232735,66.666,70.79,119.47260719933,47.9135346419827,45.5637727532792,28.2051282051282,15.3846153846154,29.21,-1619.0,6.594,39.268,165.329
St. Vincent and the Grenadines,1968,1.44737984804115,0.757455125207637,95758.0,49.8216868476428,51.9867831112811,6.50970588907791,7.339,4.56356354788348,67.527,70.303,119.22619047619,48.0132168887189,45.6147496044738,28.2051282051282,15.3846153846154,29.697,-1622.0,6.449,38.339,165.469
St. Vincent and the Grenadines,1969,1.41849291606937,0.719321081582813,97126.0,49.6139035891522,51.886216836037,2.86084496980025,7.027,4.67176657125795,68.178,69.813,118.75,48.1137831639631,45.7143298395898,28.2051282051282,15.3846153846154,30.187,-1610.0,6.276,37.366,164.208
St. Vincent and the Grenadines,1970,1.36311132246799,0.649734748834881,98459.0,49.3347484739841,51.7840023342087,10.7458895531052,6.839,4.79336576646117,68.57,69.317,118.000664231152,48.2159976657913,45.8718857595547,28.2051282051282,15.3846153846154,30.683,-1633.0,6.087,36.45,161.624
St. Vincent and the Grenadines,1971,1.25154289574361,0.529008978832801,99699.0,48.987452231216,51.6795358824015,2.96805058437629,6.757,4.92582673848283,68.733,68.818,116.982240793941,48.3204641175985,46.0867210303012,28.2051282051282,15.3846153846154,31.182,-1718.0,5.887,35.542,158.623
St. Vincent and the Grenadines,1972,1.14092051491406,0.404364187343972,100843.0,48.5608746312319,51.5819613457409,25.8314889421938,6.821,5.05937476758311,68.499,68.313,115.610100275812,48.4180386542591,46.379750601185,28.2051282051282,15.3846153846154,31.687,-1712.0,5.678,34.589,153.942
St. Vincent and the Grenadines,1973,1.0662585545188,0.320292449846002,101924.0,48.0384990851071,51.4905258891478,-11.1013350497141,6.799,5.19600292373276,68.583,67.805,113.834050141613,48.5094741108522,46.7654979911601,25.6410256410256,12.8205128205128,32.195,-1718.0,5.459,33.756,151.274
